"","x","y","marks"
"149",0.041,0.074,"hickory"
"150",0.039,0.156,"hickory"
"151",0.023,0.207,"hickory"
"152",0.098,0.142,"hickory"
"153",0.084,0.176,"hickory"
"154",0.053,0.221,"hickory"
"155",0.035,0.3,"hickory"
"156",0.036,0.31,"hickory"
"157",0.05,0.284,"hickory"
"158",0.027,0.327,"hickory"
"159",0.108,0.307,"hickory"
"160",0.134,0.328,"hickory"
"161",0.143,0.353,"hickory"
"162",0.128,0.379,"hickory"
"163",0.105,0.411,"hickory"
"164",0.129,0.385,"hickory"
"165",0.036,0.358,"hickory"
"166",0.03,0.36,"hickory"
"167",0.028,0.354,"hickory"
"168",0.031,0.376,"hickory"
"169",0.03,0.453,"hickory"
"170",0.068,0.453,"hickory"
"171",0.075,0.49,"hickory"
"172",0.047,0.474,"hickory"
"173",0.023,0.486,"hickory"
"174",0.069,0.481,"hickory"
"175",0.076,0.422,"hickory"
"176",0.082,0.458,"hickory"
"177",0.089,0.444,"hickory"
"178",0.107,0.437,"hickory"
"179",0.146,0.444,"hickory"
"180",0.089,0.473,"hickory"
"181",0.078,0.47,"hickory"
"182",0.084,0.513,"hickory"
"183",0.11,0.516,"hickory"
"184",0.132,0.518,"hickory"
"185",0.122,0.539,"hickory"
"186",0.124,0.555,"hickory"
"187",0.124,0.563,"hickory"
"188",0.103,0.537,"hickory"
"189",0.091,0.555,"hickory"
"190",0.118,0.554,"hickory"
"191",0.027,0.539,"hickory"
"192",0.079,0.562,"hickory"
"193",0.025,0.605,"hickory"
"194",0.026,0.587,"hickory"
"195",0.03,0.571,"hickory"
"196",0.039,0.594,"hickory"
"197",0.047,0.582,"hickory"
"198",0.054,0.58,"hickory"
"199",0.077,0.594,"hickory"
"200",0.07,0.635,"hickory"
"201",0.054,0.617,"hickory"
"202",0.042,0.589,"hickory"
"203",0.069,0.567,"hickory"
"204",0.081,0.62,"hickory"
"205",0.092,0.575,"hickory"
"206",0.102,0.571,"hickory"
"207",0.147,0.569,"hickory"
"208",0.131,0.618,"hickory"
"209",0.098,0.62,"hickory"
"210",0.12,0.608,"hickory"
"211",0.081,0.671,"hickory"
"212",0.102,0.676,"hickory"
"213",0.116,0.68,"hickory"
"214",0.118,0.683,"hickory"
"215",0.094,0.701,"hickory"
"216",0.079,0.648,"hickory"
"217",0.065,0.671,"hickory"
"218",0.047,0.701,"hickory"
"219",0.053,0.709,"hickory"
"220",0.035,0.701,"hickory"
"221",0.03,0.692,"hickory"
"222",0.026,0.684,"hickory"
"223",0.047,0.666,"hickory"
"224",0.064,0.694,"hickory"
"225",0.032,0.711,"hickory"
"226",0.024,0.727,"hickory"
"227",0.027,0.741,"hickory"
"228",0.035,0.725,"hickory"
"229",0.04,0.732,"hickory"
"230",0.045,0.721,"hickory"
"231",0.07,0.712,"hickory"
"232",0.045,0.76,"hickory"
"233",0.032,0.772,"hickory"
"234",0.08,0.721,"hickory"
"235",0.078,0.725,"hickory"
"236",0.092,0.732,"hickory"
"237",0.097,0.72,"hickory"
"238",0.136,0.763,"hickory"
"239",0.127,0.773,"hickory"
"240",0.106,0.747,"hickory"
"241",0.131,0.752,"hickory"
"242",0.109,0.772,"hickory"
"243",0.145,0.787,"hickory"
"244",0.095,0.804,"hickory"
"245",0.129,0.807,"hickory"
"246",0.142,0.844,"hickory"
"247",0.135,0.843,"hickory"
"248",0.1,0.794,"hickory"
"249",0.01,0.795,"hickory"
"250",0.027,0.787,"hickory"
"251",0.028,0.799,"hickory"
"252",0.029,0.814,"hickory"
"253",0.064,0.838,"hickory"
"254",0.009,0.819,"hickory"
"255",0.027,0.877,"hickory"
"256",0.038,0.866,"hickory"
"257",0.037,0.882,"hickory"
"258",0.054,0.851,"hickory"
"259",0.066,0.867,"hickory"
"260",0.07,0.903,"hickory"
"261",0.068,0.912,"hickory"
"262",0.063,0.91,"hickory"
"263",0.035,0.9,"hickory"
"264",0.034,0.899,"hickory"
"265",0.024,0.907,"hickory"
"266",0.001,0.864,"hickory"
"267",0.054,0.865,"hickory"
"268",0.061,0.863,"hickory"
"269",0.077,0.867,"hickory"
"270",0.085,0.855,"hickory"
"271",0.116,0.882,"hickory"
"272",0.12,0.886,"hickory"
"273",0.136,0.863,"hickory"
"274",0.142,0.881,"hickory"
"275",0.127,0.899,"hickory"
"276",0.115,0.905,"hickory"
"277",0.101,0.921,"hickory"
"278",0.137,0.911,"hickory"
"279",0.123,0.893,"hickory"
"280",0.101,0.923,"hickory"
"281",0.123,0.925,"hickory"
"282",0.136,0.978,"hickory"
"283",0.127,0.939,"hickory"
"284",0.115,0.942,"hickory"
"285",0.114,0.95,"hickory"
"286",0.108,0.965,"hickory"
"287",0.105,0.959,"hickory"
"288",0.104,0.975,"hickory"
"289",0.081,0.974,"hickory"
"290",0.078,0.952,"hickory"
"291",0.026,0.939,"hickory"
"292",0.035,0.942,"hickory"
"293",0.071,0.931,"hickory"
"294",0.076,0.953,"hickory"
"295",0.065,0.981,"hickory"
"296",0.064,0.981,"hickory"
"297",0.047,0.749,"hickory"
"298",0.041,0.96,"hickory"
"299",0.031,0.965,"hickory"
"300",0.031,0.963,"hickory"
"301",0.052,0.949,"hickory"
"302",0.207,0.918,"hickory"
"303",0.183,0.908,"hickory"
"304",0.172,0.908,"hickory"
"305",0.175,0.88,"hickory"
"306",0.216,0.892,"hickory"
"307",0.219,0.853,"hickory"
"308",0.16,0.864,"hickory"
"309",0.198,0.852,"hickory"
"310",0.278,0.912,"hickory"
"311",0.245,0.912,"hickory"
"312",0.229,0.896,"hickory"
"313",0.24,0.889,"hickory"
"314",0.246,0.896,"hickory"
"315",0.274,0.89,"hickory"
"316",0.219,0.945,"hickory"
"317",0.244,0.947,"hickory"
"318",0.279,0.979,"hickory"
"319",0.288,0.924,"hickory"
"320",0.234,0.943,"hickory"
"321",0.209,0.922,"hickory"
"322",0.168,0.922,"hickory"
"323",0.163,0.932,"hickory"
"324",0.17,0.763,"hickory"
"325",0.163,0.767,"hickory"
"326",0.154,0.767,"hickory"
"327",0.159,0.756,"hickory"
"328",0.157,0.723,"hickory"
"329",0.179,0.748,"hickory"
"330",0.166,0.724,"hickory"
"331",0.281,0.78,"hickory"
"332",0.258,0.768,"hickory"
"333",0.229,0.815,"hickory"
"334",0.238,0.816,"hickory"
"335",0.249,0.829,"hickory"
"336",0.248,0.835,"hickory"
"337",0.279,0.804,"hickory"
"338",0.265,0.802,"hickory"
"339",0.225,0.792,"hickory"
"340",0.228,0.789,"hickory"
"341",0.153,0.831,"hickory"
"342",0.162,0.846,"hickory"
"343",0.167,0.812,"hickory"
"344",0.176,0.815,"hickory"
"345",0.174,0.831,"hickory"
"346",0.203,0.839,"hickory"
"347",0.211,0.827,"hickory"
"348",0.16,0.784,"hickory"
"349",0.186,0.845,"hickory"
"350",0.155,0.607,"hickory"
"351",0.193,0.568,"hickory"
"352",0.174,0.598,"hickory"
"353",0.166,0.61,"hickory"
"354",0.268,0.592,"hickory"
"355",0.258,0.59,"hickory"
"356",0.26,0.582,"hickory"
"357",0.253,0.703,"hickory"
"358",0.276,0.677,"hickory"
"359",0.289,0.672,"hickory"
"360",0.207,0.7,"hickory"
"361",0.156,0.67,"hickory"
"362",0.162,0.68,"hickory"
"363",0.148,0.661,"hickory"
"364",0.161,0.489,"hickory"
"365",0.209,0.495,"hickory"
"366",0.224,0.477,"hickory"
"367",0.228,0.487,"hickory"
"368",0.222,0.457,"hickory"
"369",0.22,0.445,"hickory"
"370",0.238,0.55,"hickory"
"371",0.247,0.519,"hickory"
"372",0.229,0.522,"hickory"
"373",0.221,0.521,"hickory"
"374",0.254,0.498,"hickory"
"375",0.262,0.524,"hickory"
"376",0.159,0.555,"hickory"
"377",0.212,0.527,"hickory"
"378",0.158,0.527,"hickory"
"379",0.201,0.521,"hickory"
"380",0.193,0.325,"hickory"
"381",0.216,0.325,"hickory"
"382",0.286,0.408,"hickory"
"383",0.289,0.409,"hickory"
"384",0.223,0.402,"hickory"
"385",0.229,0.4,"hickory"
"386",0.211,0.395,"hickory"
"387",0.212,0.255,"hickory"
"388",0.184,0.288,"hickory"
"389",0.198,0.062,"hickory"
"390",0.183,0,"hickory"
"391",0.148,0.015,"hickory"
"392",0.185,0.013,"hickory"
"393",0.251,0.066,"hickory"
"394",0.256,0.013,"hickory"
"395",0.271,0.016,"hickory"
"396",0.258,0.019,"hickory"
"397",0.234,0.012,"hickory"
"398",0.242,0.126,"hickory"
"399",0.242,0.136,"hickory"
"400",0.268,0.108,"hickory"
"401",0.265,0.088,"hickory"
"402",0.253,0.104,"hickory"
"403",0.256,0.071,"hickory"
"404",0.398,0.154,"hickory"
"405",0.416,0.167,"hickory"
"406",0.424,0.156,"hickory"
"407",0.413,0.182,"hickory"
"408",0.37,0.251,"hickory"
"409",0.419,0.273,"hickory"
"410",0.385,0.273,"hickory"
"411",0.29,0.293,"hickory"
"412",0.394,0.307,"hickory"
"413",0.404,0.312,"hickory"
"414",0.415,0.306,"hickory"
"415",0.417,0.326,"hickory"
"416",0.372,0.368,"hickory"
"417",0.302,0.008,"hickory"
"418",0.32,0.061,"hickory"
"419",0.294,0.066,"hickory"
"420",0.406,0.008,"hickory"
"421",0.289,0.095,"hickory"
"422",0.339,0.131,"hickory"
"423",0.409,0.408,"hickory"
"424",0.404,0.418,"hickory"
"425",0.335,0.407,"hickory"
"426",0.354,0.422,"hickory"
"427",0.31,0.438,"hickory"
"428",0.332,0.426,"hickory"
"429",0.317,0.465,"hickory"
"430",0.338,0.477,"hickory"
"431",0.394,0.436,"hickory"
"432",0.417,0.45,"hickory"
"433",0.427,0.436,"hickory"
"434",0.43,0.447,"hickory"
"435",0.474,0.477,"hickory"
"436",0.329,0.532,"hickory"
"437",0.33,0.531,"hickory"
"438",0.335,0.508,"hickory"
"439",0.353,0.561,"hickory"
"440",0.323,0.613,"hickory"
"441",0.348,0.62,"hickory"
"442",0.347,0.667,"hickory"
"443",0.409,0.649,"hickory"
"444",0.356,0.709,"hickory"
"445",0.304,0.701,"hickory"
"446",0.331,0.718,"hickory"
"447",0.307,0.716,"hickory"
"448",0.323,0.737,"hickory"
"449",0.331,0.727,"hickory"
"450",0.333,0.746,"hickory"
"451",0.342,0.725,"hickory"
"452",0.347,0.727,"hickory"
"453",0.358,0.725,"hickory"
"454",0.36,0.769,"hickory"
"455",0.342,0.771,"hickory"
"456",0.344,0.761,"hickory"
"457",0.346,0.755,"hickory"
"458",0.302,0.752,"hickory"
"459",0.304,0.769,"hickory"
"460",0.318,0.781,"hickory"
"461",0.333,0.763,"hickory"
"462",0.387,0.722,"hickory"
"463",0.425,0.719,"hickory"
"464",0.37,0.775,"hickory"
"465",0.405,0.847,"hickory"
"466",0.419,0.819,"hickory"
"467",0.408,0.833,"hickory"
"468",0.398,0.832,"hickory"
"469",0.39,0.839,"hickory"
"470",0.367,0.83,"hickory"
"471",0.304,0.785,"hickory"
"472",0.308,0.792,"hickory"
"473",0.314,0.802,"hickory"
"474",0.328,0.787,"hickory"
"475",0.329,0.847,"hickory"
"476",0.312,0.654,"hickory"
"477",0.321,0.865,"hickory"
"478",0.325,0.882,"hickory"
"479",0.323,0.902,"hickory"
"480",0.294,0.909,"hickory"
"481",0.38,0.856,"hickory"
"482",0.389,0.927,"hickory"
"483",0.425,0.973,"hickory"
"484",0.384,0.972,"hickory"
"485",0.366,0.973,"hickory"
"486",0.307,0.985,"hickory"
"487",0.291,0.986,"hickory"
"488",0.412,0.946,"hickory"
"489",0.465,0.897,"hickory"
"490",0.463,0.915,"hickory"
"491",0.44,0.987,"hickory"
"492",0.461,0.987,"hickory"
"493",0.497,0.958,"hickory"
"494",0.438,0.756,"hickory"
"495",0.553,0.76,"hickory"
"496",0.576,0.833,"hickory"
"497",0.475,0.834,"hickory"
"498",0.436,0.841,"hickory"
"499",0.513,0.703,"hickory"
"500",0.538,0.522,"hickory"
"501",0.459,0.486,"hickory"
"502",0.49,0.489,"hickory"
"503",0.498,0.471,"hickory"
"504",0.501,0.435,"hickory"
"505",0.501,0.446,"hickory"
"506",0.444,0.435,"hickory"
"507",0.578,0.501,"hickory"
"508",0.543,0.47,"hickory"
"509",0.556,0.465,"hickory"
"510",0.54,0.452,"hickory"
"511",0.448,0.542,"hickory"
"512",0.459,0.537,"hickory"
"513",0.491,0.522,"hickory"
"514",0.475,0.522,"hickory"
"515",0.459,0.527,"hickory"
"516",0.492,0.561,"hickory"
"517",0.456,0.53,"hickory"
"518",0.438,0.35,"hickory"
"519",0.473,0.332,"hickory"
"520",0.473,0.308,"hickory"
"521",0.556,0.354,"hickory"
"522",0.437,0.421,"hickory"
"523",0.446,0.412,"hickory"
"524",0.508,0.41,"hickory"
"525",0.482,0.403,"hickory"
"526",0.487,0.182,"hickory"
"527",0.439,0.157,"hickory"
"528",0.534,0.254,"hickory"
"529",0.569,0.127,"hickory"
"530",0.495,0.119,"hickory"
"531",0.439,0.104,"hickory"
"532",0.459,0.094,"hickory"
"533",0.693,0.006,"hickory"
"534",0.686,0.008,"hickory"
"535",0.708,0.133,"hickory"
"536",0.657,0.128,"hickory"
"537",0.577,0.105,"hickory"
"538",0.608,0.098,"hickory"
"539",0.619,0.132,"hickory"
"540",0.609,0.126,"hickory"
"541",0.631,0.168,"hickory"
"542",0.621,0.201,"hickory"
"543",0.62,0.203,"hickory"
"544",0.617,0.19,"hickory"
"545",0.708,0.184,"hickory"
"546",0.671,0.218,"hickory"
"547",0.619,0.347,"hickory"
"548",0.659,0.354,"hickory"
"549",0.694,0.376,"hickory"
"550",0.682,0.377,"hickory"
"551",0.601,0.385,"hickory"
"552",0.585,0.404,"hickory"
"553",0.616,0.491,"hickory"
"554",0.615,0.492,"hickory"
"555",0.636,0.496,"hickory"
"556",0.639,0.492,"hickory"
"557",0.682,0.442,"hickory"
"558",0.712,0.458,"hickory"
"559",0.706,0.476,"hickory"
"560",0.696,0.466,"hickory"
"561",0.672,0.476,"hickory"
"562",0.658,0.494,"hickory"
"563",0.714,0.501,"hickory"
"564",0.661,0.525,"hickory"
"565",0.673,0.534,"hickory"
"566",0.66,0.562,"hickory"
"567",0.629,0.516,"hickory"
"568",0.617,0.537,"hickory"
"569",0.604,0.543,"hickory"
"570",0.588,0.547,"hickory"
"571",0.584,0.595,"hickory"
"572",0.609,0.597,"hickory"
"573",0.712,0.584,"hickory"
"574",0.703,0.618,"hickory"
"575",0.667,0.702,"hickory"
"576",0.666,0.715,"hickory"
"577",0.579,0.718,"hickory"
"578",0.641,0.739,"hickory"
"579",0.602,0.753,"hickory"
"580",0.695,0.737,"hickory"
"581",0.686,0.751,"hickory"
"582",0.672,0.762,"hickory"
"583",0.656,0.721,"hickory"
"584",0.659,0.795,"hickory"
"585",0.598,0.839,"hickory"
"586",0.619,0.841,"hickory"
"587",0.584,0.855,"hickory"
"588",0.629,0.91,"hickory"
"589",0.585,0.854,"hickory"
"590",0.654,0.851,"hickory"
"591",0.654,0.897,"hickory"
"592",0.661,0.937,"hickory"
"593",0.683,0.948,"hickory"
"594",0.68,0.987,"hickory"
"595",0.677,0.923,"hickory"
"596",0.663,0.958,"hickory"
"597",0.627,0.952,"hickory"
"598",0.639,0.935,"hickory"
"599",0.64,0.983,"hickory"
"600",0.64,0.983,"hickory"
"601",0.623,0.986,"hickory"
"602",0.608,0.979,"hickory"
"603",0.596,0.989,"hickory"
"604",0.639,0.983,"hickory"
"605",0.767,0.922,"hickory"
"606",0.733,0.902,"hickory"
"607",0.747,0.883,"hickory"
"608",0.779,0.873,"hickory"
"609",0.839,0.913,"hickory"
"610",0.813,0.96,"hickory"
"611",0.848,0.981,"hickory"
"612",0.852,0.979,"hickory"
"613",0.854,0.984,"hickory"
"614",0.858,0.944,"hickory"
"615",0.721,0.978,"hickory"
"616",0.782,0.974,"hickory"
"617",0.776,0.947,"hickory"
"618",0.728,0.924,"hickory"
"619",0.737,0.718,"hickory"
"620",0.838,0.782,"hickory"
"621",0.811,0.769,"hickory"
"622",0.821,0.752,"hickory"
"623",0.831,0.744,"hickory"
"624",0.855,0.844,"hickory"
"625",0.823,0.812,"hickory"
"626",0.82,0.805,"hickory"
"627",0.828,0.813,"hickory"
"628",0.827,0.811,"hickory"
"629",0.819,0.813,"hickory"
"630",0.815,0.819,"hickory"
"631",0.758,0.819,"hickory"
"632",0.768,0.831,"hickory"
"633",0.742,0.648,"hickory"
"634",0.789,0.62,"hickory"
"635",0.793,0.585,"hickory"
"636",0.771,0.597,"hickory"
"637",0.763,0.583,"hickory"
"638",0.748,0.604,"hickory"
"639",0.831,0.65,"hickory"
"640",0.803,0.637,"hickory"
"641",0.842,0.635,"hickory"
"642",0.816,0.591,"hickory"
"643",0.804,0.588,"hickory"
"644",0.798,0.706,"hickory"
"645",0.803,0.7,"hickory"
"646",0.806,0.701,"hickory"
"647",0.811,0.665,"hickory"
"648",0.801,0.68,"hickory"
"649",0.832,0.674,"hickory"
"650",0.744,0.703,"hickory"
"651",0.786,0.711,"hickory"
"652",0.75,0.671,"hickory"
"653",0.769,0.495,"hickory"
"654",0.738,0.471,"hickory"
"655",0.756,0.472,"hickory"
"656",0.764,0.47,"hickory"
"657",0.777,0.443,"hickory"
"658",0.753,0.442,"hickory"
"659",0.748,0.453,"hickory"
"660",0.738,0.446,"hickory"
"661",0.731,0.439,"hickory"
"662",0.802,0.465,"hickory"
"663",0.848,0.479,"hickory"
"664",0.823,0.438,"hickory"
"665",0.804,0.545,"hickory"
"666",0.827,0.544,"hickory"
"667",0.83,0.538,"hickory"
"668",0.842,0.555,"hickory"
"669",0.831,0.509,"hickory"
"670",0.741,0.537,"hickory"
"671",0.782,0.55,"hickory"
"672",0.774,0.51,"hickory"
"673",0.727,0.526,"hickory"
"674",0.841,0.338,"hickory"
"675",0.803,0.413,"hickory"
"676",0.816,0.395,"hickory"
"677",0.746,0.407,"hickory"
"678",0.79,0.393,"hickory"
"679",0.725,0.422,"hickory"
"680",0.784,0.389,"hickory"
"681",0.727,0.201,"hickory"
"682",0.773,0.185,"hickory"
"683",0.832,0.149,"hickory"
"684",0.802,0.155,"hickory"
"685",0.854,0.268,"hickory"
"686",0.832,0.222,"hickory"
"687",0.829,0.223,"hickory"
"688",0.825,0.233,"hickory"
"689",0.846,0.256,"hickory"
"690",0.778,0.279,"hickory"
"691",0.789,0.253,"hickory"
"692",0.729,0.231,"hickory"
"693",0.782,0.014,"hickory"
"694",0.794,0.032,"hickory"
"695",0.823,0.015,"hickory"
"696",0.785,0.078,"hickory"
"697",0.748,0.123,"hickory"
"698",0.95,0.021,"hickory"
"699",0.926,0.052,"hickory"
"700",0.943,0.093,"hickory"
"701",0.951,0.08,"hickory"
"702",0.907,0.115,"hickory"
"703",0.895,0.149,"hickory"
"704",0.908,0.148,"hickory"
"705",0.976,0.181,"hickory"
"706",1,0.199,"hickory"
"707",0.991,0.199,"hickory"
"708",0.97,0.211,"hickory"
"709",0.944,0.205,"hickory"
"710",0.972,0.264,"hickory"
"711",0.923,0.278,"hickory"
"712",0.916,0.277,"hickory"
"713",0.997,0.234,"hickory"
"714",0.88,0.227,"hickory"
"715",0.898,0.254,"hickory"
"716",0.866,0.293,"hickory"
"717",0.881,0.289,"hickory"
"718",0.906,0.305,"hickory"
"719",0.896,0.34,"hickory"
"720",0.892,0.343,"hickory"
"721",0.883,0.325,"hickory"
"722",0.874,0.33,"hickory"
"723",0.893,0.315,"hickory"
"724",0.913,0.31,"hickory"
"725",0.929,0.315,"hickory"
"726",0.968,0.285,"hickory"
"727",0.932,0.324,"hickory"
"728",0.924,0.333,"hickory"
"729",0.948,0.341,"hickory"
"730",0.942,0.364,"hickory"
"731",0.949,0.359,"hickory"
"732",0.962,0.37,"hickory"
"733",0.998,0.421,"hickory"
"734",0.987,0.292,"hickory"
"735",0.963,0.323,"hickory"
"736",0.951,0.325,"hickory"
"737",0.946,0.325,"hickory"
"738",0.964,0.424,"hickory"
"739",0.951,0.399,"hickory"
"740",0.881,0.394,"hickory"
"741",0.916,0.396,"hickory"
"742",0.922,0.38,"hickory"
"743",0.927,0.399,"hickory"
"744",0.892,0.417,"hickory"
"745",0.885,0.425,"hickory"
"746",0.872,0.406,"hickory"
"747",0.872,0.427,"hickory"
"748",0.908,0.43,"hickory"
"749",0.921,0.501,"hickory"
"750",0.908,0.479,"hickory"
"751",0.877,0.465,"hickory"
"752",0.972,0.444,"hickory"
"753",0.977,0.445,"hickory"
"754",0.953,0.496,"hickory"
"755",0.977,0.534,"hickory"
"756",0.95,0.557,"hickory"
"757",0.89,0.515,"hickory"
"758",0.939,0.511,"hickory"
"759",0.918,0.544,"hickory"
"760",0.905,0.621,"hickory"
"761",0.897,0.607,"hickory"
"762",0.924,0.591,"hickory"
"763",0.955,0.663,"hickory"
"764",0.969,0.657,"hickory"
"765",0.945,0.692,"hickory"
"766",0.968,0.607,"hickory"
"767",0.982,0.604,"hickory"
"768",0.978,0.628,"hickory"
"769",0.966,0.697,"hickory"
"770",0.882,0.662,"hickory"
"771",0.89,0.665,"hickory"
"772",0.89,0.661,"hickory"
"773",0.889,0.652,"hickory"
"774",0.89,0.647,"hickory"
"775",0.927,0.654,"hickory"
"776",0.946,0.66,"hickory"
"777",0.932,0.701,"hickory"
"778",0.903,0.712,"hickory"
"779",0.902,0.688,"hickory"
"780",0.885,0.696,"hickory"
"781",0.902,0.697,"hickory"
"782",0.895,0.747,"hickory"
"783",0.926,0.775,"hickory"
"784",0.93,0.763,"hickory"
"785",0.905,0.76,"hickory"
"786",0.894,0.774,"hickory"
"787",0.895,0.781,"hickory"
"788",0.896,0.782,"hickory"
"789",0.889,0.749,"hickory"
"790",0.892,0.762,"hickory"
"791",0.952,0.736,"hickory"
"792",0.96,0.722,"hickory"
"793",0.973,0.722,"hickory"
"794",0.996,0.736,"hickory"
"795",0.95,0.76,"hickory"
"796",0.95,0.747,"hickory"
"797",0.938,0.748,"hickory"
"798",0.936,0.771,"hickory"
"799",0.969,0.737,"hickory"
"800",0.953,0.791,"hickory"
"801",0.957,0.805,"hickory"
"802",0.959,0.8,"hickory"
"803",0.996,0.802,"hickory"
"804",0.972,0.837,"hickory"
"805",0.974,0.827,"hickory"
"806",0.944,0.826,"hickory"
"807",0.883,0.789,"hickory"
"808",0.874,0.794,"hickory"
"809",0.919,0.792,"hickory"
"810",0.916,0.828,"hickory"
"811",0.908,0.854,"hickory"
"812",0.9,0.841,"hickory"
"813",0.881,0.855,"hickory"
"814",0.868,0.857,"hickory"
