"","x","y","cause","burntarea","date","juliandate"
"37",264.8749896,304.87501395,"lightning",0.2,1998-03-07,65
"38",144.8749965,174.874994775,"accident",3,1998-03-07,65
"39",325.11483615,74.87501385,"other",17,1998-03-08,66
"40",144.8749965,154.8749826,"intentional",19,1998-03-08,66
"41",174.874994775,104.875012125,"intentional",0.5,1998-03-08,66
"42",164.914983675,154.8749826,"intentional",5,1998-03-08,66
"43",324.87498615,174.874994775,"accident",0.1,1998-03-08,66
"44",324.91496115,204.87499305,"accident",0.02,1998-03-08,66
"45",134.9949354,194.87500695,"accident",1,1998-03-09,67
"46",135.0349104,194.87500695,"accident",0.5,1998-03-09,67
"47",304.87501395,234.874991325,"accident",5.5,1998-03-10,68
"48",284.875001775,304.87501395,"accident",3,1998-03-15,73
"49",274.875015675,84.87499995,"intentional",0.01,1998-03-16,74
"50",294.874987875,254.8750035,"accident",0.13,1998-03-16,74
"51",284.875001775,334.87497225,"intentional",0.1,1998-03-16,74
"52",334.87497225,164.875008675,"accident",0.08,1998-03-17,75
"53",254.8750035,64.874987775,"accident",0.02,1998-03-17,75
"54",334.87497225,184.874980875,"accident",4,1998-03-17,75
"55",174.874994775,174.874994775,"other",0.75,1998-03-17,75
"56",64.954937775,254.8750035,"intentional",0.5,1998-03-17,75
"57",84.87499995,104.875012125,"other",0.1,1998-03-19,77
"58",64.874987775,94.87498605,"other",1.25,1998-03-20,78
"59",214.875019125,374.8749966,"other",2,1998-03-20,78
"60",174.954944775,234.874991325,"accident",0.9,1998-03-21,79
"61",284.875001775,344.874998325,"other",0.02,1998-03-22,80
"62",354.874984425,134.8750104,"accident",0.02,1998-03-24,82
"63",284.875001775,264.8749896,"accident",0.8,1998-03-24,82
"64",94.87498605,64.874987775,"other",0.02,1998-03-25,83
"65",324.87498615,254.8750035,"accident",1.13,1998-03-25,83
"66",274.875015675,64.874987775,"accident",0.06,1998-03-26,84
"67",224.875005225,324.87498615,"accident",1.2,1998-03-26,84
"68",264.8749896,224.875005225,"accident",0.45,1998-03-28,86
"69",254.8750035,344.874998325,"accident",0.6,1998-04-03,92
"70",194.87500695,354.874984425,"intentional",0.01,1998-04-03,92
"71",184.874980875,204.87499305,"accident",4,1998-04-07,96
"72",174.914969775,104.875012125,"other",3,1998-04-08,97
"73",214.954969125,324.87498615,"accident",0.01,1998-04-08,97
"74",204.91496805,334.87497225,"accident",4.1,1998-04-08,97
"75",134.9149854,254.8750035,"accident",4,1998-04-08,97
"76",194.87500695,194.87500695,"accident",26,1998-04-08,97
"77",105.034912125,134.8750104,"intentional",0.15,1998-04-09,98
"78",344.914973325,224.875005225,"other",0.01,1998-04-09,98
"79",204.87499305,304.87501395,"accident",2,1998-04-09,98
"80",224.954955225,324.87498615,"accident",7,1998-04-09,98
"81",204.91496805,324.87498615,"intentional",6.9,1998-04-09,98
"82",95.07486105,254.8750035,"other",4,1998-04-09,98
"83",95.11483605,254.8750035,"other",4,1998-04-09,98
"84",265.2347646,84.87499995,"accident",0.02,1998-04-11,100
"85",95.23476105,264.8749896,"intentional",0.05,1998-04-12,101
"86",304.95496395,74.87501385,"accident",0.25,1998-04-17,106
"87",344.874998325,154.8749826,"accident",0.01,1998-04-18,107
"88",254.9149785,64.874987775,"accident",0.03,1998-04-27,116
"89",344.874998325,125.874998925,"accident",0.05,1998-05-07,126
"90",114.874998225,84.87499995,"accident",3,1998-05-07,126
"91",314.87500005,324.87498615,"accident",0.16,1998-05-07,126
"92",144.8749965,234.874991325,"accident",0.5,1998-05-07,126
"93",214.875019125,84.87499995,"accident",0.8,1998-05-08,127
"94",234.874991325,184.874980875,"accident",5,1998-05-08,127
"95",214.875019125,364.8750105,"accident",0.15,1998-05-08,127
"96",54.914976675,234.874991325,"accident",4,1998-05-08,127
"97",154.9149576,174.874994775,"accident",3.03,1998-05-08,127
"98",184.914955875,204.87499305,"other",2,1998-05-09,128
"99",124.874984325,254.8750035,"other",3,1998-05-09,128
"100",284.875001775,244.8750174,"accident",0.04,1998-06-03,153
"101",324.87498615,234.874991325,"accident",0.1,1998-06-03,153
"102",244.8750174,324.87498615,"intentional",0.24,1998-06-03,153
"103",324.91496115,74.87501385,"other",0.02,1998-06-04,154
"104",204.87499305,334.87497225,"intentional",1,1998-06-05,155
"105",284.875001775,114.874998225,"accident",35,1998-06-07,157
"106",234.874991325,124.874984325,"accident",6.03,1998-06-08,158
"107",324.91496115,144.8749965,"accident",4.42,1998-06-08,158
"108",174.954944775,104.875012125,"intentional",0.1,1998-06-08,158
"109",294.874987875,214.875019125,"accident",40,1998-06-08,158
"110",194.87500695,324.87498615,"accident",0.01,1998-06-08,158
"111",175.034894775,334.87497225,"accident",1.5,1998-06-09,159
"112",224.994930225,324.87498615,"other",0.06,1998-06-09,159
"113",84.87499995,194.87500695,"intentional",1,1998-06-09,159
"114",184.954930875,224.875005225,"accident",3.5,1998-06-09,159
"115",334.87497225,224.875005225,"accident",0,1998-06-14,164
"116",74.87501385,214.875019125,"accident",2,1998-06-14,164
"117",264.8749896,124.874984325,"accident",0.01,1998-06-17,167
"118",84.87499995,114.874998225,"other",2,1998-06-19,169
"119",324.95493615,74.87501385,"intentional",1,1998-06-21,171
"120",264.8749896,204.87499305,"intentional",4,1998-06-21,171
"121",324.99491115,74.87501385,"intentional",0.01,1998-06-22,172
"122",170.674981425,328.625000925,"accident",15,1998-06-22,172
"123",34.878987,244.8750174,"accident",1.5,1998-06-22,172
"124",324.87498615,114.874998225,"lightning",1.5,1998-06-23,173
"125",134.8750104,114.874998225,"other",0.03,1998-06-23,173
"126",154.9149576,224.875005225,"accident",4,1998-06-23,173
"127",254.9549535,64.874987775,"accident",0.01,1998-06-26,176
"128",114.874998225,94.87498605,"accident",6,1998-06-26,176
"129",274.875015675,304.87501395,"other",0,1998-06-27,177
"130",174.874994775,314.87500005,"accident",5,1998-06-27,177
"131",104.875012125,134.8750104,"intentional",0.24,1998-06-28,178
"132",74.87501385,134.8750104,"other",0.01,1998-06-28,178
"133",234.874991325,294.874987875,"accident",0.5,1998-06-28,178
"134",24.8829984,234.874991325,"accident",2,1998-06-28,178
"135",164.875008675,154.8749826,"accident",2.5,1998-06-29,179
"136",64.874987775,244.8750174,"other",0.02,1998-06-29,179
"137",124.874984325,224.875005225,"other",0.25,1998-06-30,180
"138",54.875001675,254.8750035,"accident",1.05,1998-06-30,180
"139",94.87498605,264.8749896,"intentional",0.08,1998-06-30,180
"140",64.874987775,164.875008675,"accident",0.2,1998-07-03,183
"141",244.8750174,314.87500005,"accident",0.33,1998-07-03,183
"142",244.8750174,354.874984425,"other",0.3,1998-07-03,183
"143",114.954948225,94.87498605,"other",0.8,1998-07-07,187
"144",244.8750174,124.874984325,"intentional",1.5,1998-07-08,188
"145",114.874998225,164.875008675,"intentional",0.03,1998-07-08,188
"146",84.91497495,174.874994775,"intentional",0.3,1998-07-08,188
"147",204.91496805,274.875015675,"accident",2,1998-07-08,188
"148",194.91498195,304.87501395,"intentional",1.1,1998-07-08,188
"149",164.875008675,234.874991325,"accident",3,1998-07-08,188
"150",274.994940675,34.8749895,"accident",2.5,1998-07-09,189
"151",375.0348966,114.874998225,"accident",1.5,1998-07-09,189
"152",155.0348826,154.8749826,"intentional",8,1998-07-09,189
"153",354.874984425,234.874991325,"accident",0.01,1998-07-09,189
"154",204.91496805,304.87501395,"accident",5.5,1998-07-09,189
"155",195.03490695,214.875019125,"accident",3.5,1998-07-09,189
"156",324.87498615,144.8749965,"other",2.6,1998-07-13,193
"157",115.074873225,94.87498605,"accident",3,1998-07-13,193
"158",94.87498605,84.87499995,"other",1,1998-07-13,193
"159",124.874984325,124.874984325,"intentional",190,1998-07-13,193
"160",174.874994775,334.87497225,"other",0.5,1998-07-13,193
"161",214.875019125,334.87497225,"intentional",3,1998-07-13,193
"162",94.91496105,264.8749896,"intentional",31,1998-07-13,193
"163",94.87498605,254.8750035,"intentional",2,1998-07-13,193
"164",84.91497495,244.8750174,"accident",3,1998-07-13,193
"165",104.914987125,134.8750104,"other",0.02,1998-07-14,194
"166",84.87499995,174.874994775,"accident",2,1998-07-14,194
"167",264.8749896,284.875001775,"other",0.02,1998-07-14,194
"168",194.93896695,304.87501395,"intentional",7.12,1998-07-15,195
"169",54.914976675,254.8750035,"intentional",0.5,1998-07-15,195
"170",94.95493605,264.8749896,"other",0.04,1998-07-15,195
"171",184.874980875,224.875005225,"accident",0.06,1998-07-15,195
"172",184.914955875,224.875005225,"accident",6.05,1998-07-16,196
"173",154.8749826,174.874994775,"accident",5.5,1998-07-16,196
"174",104.954962125,134.8750104,"intentional",0.3,1998-07-17,197
"175",354.874984425,224.875005225,"accident",0,1998-07-17,197
"176",294.914962875,204.87499305,"accident",4.3,1998-07-17,197
"177",24.8909934,234.874991325,"accident",0.5,1998-07-17,197
"178",194.95495695,234.874991325,"accident",3.5,1998-07-17,197
"179",174.874994775,124.874984325,"other",140,1998-07-18,198
"180",314.87500005,194.87500695,"accident",0,1998-07-18,198
"181",314.91497505,194.87500695,"accident",12,1998-07-18,198
"182",24.8750034,224.875005225,"accident",2.55,1998-07-18,198
"183",24.8949909,234.874991325,"accident",1,1998-07-18,198
"184",134.8750104,254.8750035,"accident",2,1998-07-18,198
"185",304.87501395,124.874984325,"accident",1,1998-07-19,199
"186",294.874987875,84.87499995,"other",0.52,1998-07-19,199
"187",234.874991325,254.8750035,"accident",2.5,1998-07-19,199
"188",225.154830225,184.874980875,"accident",48,1998-07-19,199
"189",234.874991325,304.87501395,"other",0.2,1998-07-19,199
"190",204.91496805,194.87500695,"accident",0.1,1998-07-19,199
"191",64.874987775,204.87499305,"intentional",0.25,1998-07-19,199
"192",194.95495695,174.874994775,"intentional",2,1998-07-20,200
"193",204.87499305,274.875015675,"accident",2.58,1998-07-20,200
"194",224.914980225,324.87498615,"accident",56,1998-07-20,200
"195",124.914959325,224.875005225,"other",0.01,1998-07-20,200
"196",104.875012125,254.8750035,"accident",10,1998-07-20,200
"197",54.875001675,244.8750174,"accident",60,1998-07-20,200
"198",64.914962775,244.8750174,"accident",0.5,1998-07-20,200
"199",84.95494995,244.8750174,"other",14,1998-07-20,200
"200",94.91496105,254.8750035,"accident",1,1998-07-20,200
"201",154.8749826,154.8749826,"intentional",0.4,1998-07-22,202
"202",324.87498615,194.87500695,"accident",0.01,1998-07-22,202
"203",214.875019125,324.87498615,"accident",17.03,1998-07-22,202
"204",44.899000575,104.875012125,"intentional",4,1998-07-23,203
"205",264.9149646,204.87499305,"other",2.2,1998-07-23,203
"206",274.875015675,174.874994775,"accident",5.5,1998-07-23,203
"207",324.87498615,184.874980875,"accident",0.4,1998-07-23,203
"208",234.914966325,304.87501395,"other",0.02,1998-07-23,203
"209",224.875005225,274.875015675,"intentional",0.3,1998-07-23,203
"210",144.8749965,214.875019125,"accident",1,1998-07-23,203
"211",134.8750104,204.87499305,"accident",9,1998-07-23,203
"212",64.954937775,244.8750174,"accident",0.02,1998-07-23,203
"213",74.91498885,214.875019125,"accident",3,1998-07-23,203
"214",284.878999275,184.874980875,"accident",0.1,1998-07-24,204
"215",214.875019125,314.87500005,"accident",125,1998-07-24,204
"216",214.914994125,324.87498615,"other",0.02,1998-07-24,204
"217",154.9549326,224.875005225,"accident",3.5,1998-07-24,204
"218",94.95493605,254.8750035,"other",3,1998-07-24,204
"219",94.99491105,254.8750035,"accident",5,1998-07-24,204
"220",44.875015575,224.875005225,"accident",10.4,1998-07-24,204
"221",114.874998225,64.874987775,"intentional",12,1998-07-25,205
"222",184.874980875,104.875012125,"other",30,1998-07-25,205
"223",134.9149854,244.8750174,"accident",0.5,1998-07-25,205
"224",95.03488605,254.8750035,"intentional",2,1998-07-25,205
"225",194.87500695,214.875019125,"accident",0.02,1998-07-25,205
"226",74.87501385,234.874991325,"accident",1.5,1998-07-25,205
"227",10.93995825,237.5260134,"accident",0.9,1998-07-25,205
"228",74.91498885,234.874991325,"accident",2,1998-07-25,205
"229",54.914976675,244.8750174,"accident",1,1998-07-25,205
"230",104.994937125,134.8750104,"other",1,1998-07-26,206
"231",284.914976775,264.8749896,"accident",21,1998-07-26,206
"232",174.914969775,334.87497225,"accident",0.1,1998-07-26,206
"233",204.87499305,264.8749896,"other",9,1998-07-26,206
"234",324.87498615,304.87501395,"other",0.5,1998-07-26,206
"235",194.91498195,214.875019125,"accident",0.1,1998-07-26,206
"236",325.07486115,74.87501385,"accident",1.5,1998-07-27,207
"237",34.8749895,204.87499305,"accident",5,1998-07-27,207
"238",294.874987875,344.874998325,"accident",16,1998-07-28,208
"239",94.99491105,264.8749896,"accident",1.5,1998-07-28,208
"240",84.99492495,244.8750174,"intentional",2,1998-07-28,208
"241",104.914987125,94.87498605,"accident",3,1998-07-29,209
"242",115.114848225,94.87498605,"accident",0.1,1998-07-29,209
"243",274.875015675,194.87500695,"accident",0.06,1998-07-29,209
"244",184.874980875,364.8750105,"other",0.3,1998-07-29,209
"245",304.87501395,344.874998325,"accident",10.5,1998-07-29,209
"246",74.95496385,234.874991325,"other",0.9,1998-07-29,209
"247",194.95495695,214.875019125,"accident",3.1,1998-07-29,209
"248",54.954951675,244.8750174,"accident",1.5,1998-07-29,209
"249",254.8750035,94.87498605,"accident",3,1998-07-30,210
"250",94.91496105,64.874987775,"accident",0.1,1998-07-30,210
"251",64.874987775,154.8749826,"accident",677.45,1998-07-30,210
"252",174.874994775,354.874984425,"accident",1.5,1998-07-30,210
"253",294.914962875,344.874998325,"accident",2,1998-07-30,210
"254",254.8750035,334.87497225,"accident",33,1998-07-30,210
"255",224.875005225,294.874987875,"other",0.05,1998-07-30,210
"256",314.87500005,304.87501395,"accident",60,1998-07-30,210
"257",54.914976675,204.87499305,"intentional",3.5,1998-07-30,210
"258",104.914987125,254.8750035,"accident",3,1998-07-30,210
"259",374.8749966,114.874998225,"accident",1.5,1998-07-31,211
"260",264.8749896,94.87498605,"accident",2,1998-07-31,211
"261",204.94694805,114.874998225,"intentional",0.1,1998-07-31,211
"262",104.954962125,254.8750035,"accident",18,1998-07-31,211
"263",54.954951675,204.87499305,"accident",70,1998-07-31,211
"264",324.87498615,74.87501385,"intentional",0.01,1998-08-03,214
"265",64.914962775,164.875008675,"accident",0.1,1998-08-03,214
"266",304.87501395,74.87501385,"accident",0.62,1998-08-04,215
"267",154.8749826,224.875005225,"accident",2,1998-08-05,216
"268",284.875001775,184.874980875,"intentional",1.5,1998-08-07,218
"269",244.9149924,354.874984425,"other",0.2,1998-08-07,218
"270",204.87499305,194.87500695,"other",1.5,1998-08-07,218
"271",14.9149923,224.875005225,"intentional",0.25,1998-08-07,218
"272",154.8749826,104.875012125,"other",10,1998-08-08,219
"273",204.87499305,284.875001775,"accident",1.2,1998-08-08,219
"274",175.034894775,234.874991325,"intentional",56.5,1998-08-08,219
"275",124.954934325,224.875005225,"accident",2.5,1998-08-08,219
"276",54.994926675,244.8750174,"other",1.5,1998-08-08,219
"277",155.0748576,154.8749826,"intentional",0.75,1998-08-09,220
"278",174.874994775,84.87499995,"other",0.6,1998-08-09,220
"279",194.94696195,94.87498605,"other",1.5,1998-08-09,220
"280",174.874994775,164.875008675,"intentional",2,1998-08-09,220
"281",324.95493615,254.8750035,"other",1.9,1998-08-09,220
"282",194.99493195,304.87501395,"other",0.01,1998-08-09,220
"283",214.875019125,274.875015675,"accident",4,1998-08-09,220
"284",195.07488195,214.875019125,"accident",1,1998-08-09,220
"285",195.11485695,214.875019125,"accident",5.16,1998-08-09,220
"286",65.114837775,244.8750174,"accident",15,1998-08-10,221
"287",264.8749896,54.875001675,"lightning",0.01,1998-08-13,224
"288",274.875015675,34.8749895,"lightning",0.02,1998-08-13,224
"289",254.9949285,64.874987775,"lightning",0.01,1998-08-13,224
"290",374.9149716,114.874998225,"intentional",0.05,1998-08-13,224
"291",44.875015575,124.874984325,"lightning",1,1998-08-13,224
"292",284.954951775,264.8749896,"lightning",0.2,1998-08-13,224
"293",274.875015675,244.8750174,"lightning",0,1998-08-13,224
"294",254.8750035,354.874984425,"accident",15,1998-08-13,224
"295",84.87499995,224.875005225,"accident",0.25,1998-08-13,224
"296",255.0349035,64.874987775,"lightning",0.01,1998-08-14,225
"297",255.0748785,64.874987775,"lightning",0.01,1998-08-14,225
"298",274.914990675,244.8750174,"lightning",0.01,1998-08-14,225
"299",284.875001775,314.87500005,"accident",0.15,1998-08-14,225
"300",274.875015675,314.87500005,"lightning",0.02,1998-08-14,225
"301",274.914990675,84.87499995,"lightning",0.01,1998-08-15,226
"302",374.9549466,114.874998225,"lightning",0.8,1998-08-15,226
"303",264.9149646,314.87500005,"accident",0.05,1998-08-15,226
"304",184.914955875,374.8749966,"other",0.01,1998-08-15,226
"305",194.91498195,324.87498615,"accident",0.03,1998-08-15,226
"306",245.0349174,354.874984425,"lightning",0.4,1998-08-15,226
"307",374.9949216,114.874998225,"lightning",0.02,1998-08-16,227
"308",284.914976775,114.874998225,"accident",30.5,1998-08-16,227
"309",175.034894775,104.875012125,"other",1.2,1998-08-16,227
"310",64.914962775,94.87498605,"other",0.5,1998-08-16,227
"311",294.874987875,274.875015675,"lightning",0,1998-08-16,227
"312",244.8750174,274.875015675,"lightning",0,1998-08-16,227
"313",284.914976775,244.8750174,"lightning",0.01,1998-08-16,227
"314",234.954941325,304.87501395,"lightning",0.01,1998-08-16,227
"315",264.9149646,304.87501395,"accident",0.04,1998-08-16,227
"316",284.914976775,334.87497225,"lightning",0.01,1998-08-16,227
"317",95.03488605,264.8749896,"lightning",0.02,1998-08-16,227
"318",284.875001775,54.875001675,"lightning",0.01,1998-08-17,228
"319",264.9149646,54.875001675,"lightning",0.01,1998-08-17,228
"320",154.9149576,104.875012125,"intentional",5,1998-08-17,228
"321",284.954951775,304.87501395,"lightning",0.02,1998-08-17,228
"322",284.914976775,344.874998325,"lightning",0.02,1998-08-17,228
"323",194.87500695,364.8750105,"lightning",0.01,1998-08-17,228
"324",294.874987875,324.87498615,"lightning",0.01,1998-08-17,228
"325",164.875008675,214.875019125,"lightning",0.03,1998-08-17,228
"326",364.8750105,154.8749826,"lightning",0.8,1998-08-18,229
"327",284.882996775,184.874980875,"other",0.2,1998-08-18,229
"328",254.8750035,174.874994775,"accident",3,1998-08-18,229
"329",284.954951775,344.874998325,"lightning",0.01,1998-08-18,229
"330",284.994926775,344.874998325,"lightning",0.01,1998-08-18,229
"331",54.946956675,214.875019125,"accident",2,1998-08-18,229
"332",284.994926775,304.87501395,"lightning",0.1,1998-08-19,230
"333",274.875015675,324.87498615,"accident",0.02,1998-08-19,230
"334",184.874980875,354.874984425,"lightning",0.01,1998-08-19,230
"335",115.234773225,94.87498605,"intentional",0.3,1998-08-20,231
"336",304.87501395,244.8750174,"lightning",0,1998-08-20,231
"337",194.95495695,304.87501395,"lightning",0.8,1998-08-20,231
"338",64.994912775,254.8750035,"intentional",3.5,1998-08-20,231
"339",55.034901675,244.8750174,"accident",5,1998-08-20,231
"340",14.9549673,224.875005225,"accident",6.5,1998-08-20,231
"341",115.274748225,94.87498605,"accident",4,1998-08-21,232
"342",274.954965675,244.8750174,"lightning",0.05,1998-08-21,232
"343",324.87498615,214.875019125,"lightning",0.28,1998-08-21,232
"344",274.914990675,314.87500005,"accident",0.15,1998-08-21,232
"345",274.954965675,314.87500005,"accident",0.8,1998-08-21,232
"346",14.9949423,224.875005225,"accident",2,1998-08-21,232
"347",224.914980225,294.874987875,"other",2.5,1998-08-22,233
"348",104.875012125,244.8750174,"other",4,1998-08-23,234
"349",144.8749965,224.875005225,"accident",0.8,1998-08-23,234
"350",134.8750104,234.874991325,"intentional",4,1998-08-23,234
"351",204.91496805,374.8749966,"accident",1.2,1998-08-24,235
"352",294.874987875,54.875001675,"accident",0.22,1998-08-25,236
"353",154.9549326,154.8749826,"intentional",2.5,1998-08-25,236
"354",204.87499305,324.87498615,"accident",1,1998-08-25,236
"355",325.15481115,74.87501385,"lightning",0.01,1998-08-26,237
"356",324.87498615,84.87499995,"lightning",1.2,1998-08-26,237
"357",304.99493895,74.87501385,"lightning",0.02,1998-08-26,237
"358",314.87500005,244.8750174,"lightning",0.5,1998-08-26,237
"359",174.994919775,334.87497225,"lightning",0.01,1998-08-26,237
"360",304.87501395,304.87501395,"lightning",0.01,1998-08-26,237
"361",294.874987875,314.87500005,"lightning",0.01,1998-08-26,237
"362",114.874998225,214.875019125,"other",0.03,1998-08-26,237
"363",284.886994275,184.874980875,"intentional",14.5,1998-08-27,238
"364",204.87499305,354.874984425,"lightning",0.01,1998-08-27,238
"365",184.874980875,344.874998325,"lightning",0.01,1998-08-27,238
"366",234.874991325,324.87498615,"lightning",0.06,1998-08-27,238
"367",264.8749896,354.874984425,"lightning",0.01,1998-08-27,238
"368",85.07487495,244.8750174,"intentional",4.5,1998-08-27,238
"369",54.954951675,234.874991325,"intentional",5,1998-08-27,238
"370",194.99493195,214.875019125,"intentional",3.06,1998-08-28,239
"371",164.914983675,214.875019125,"other",1,1998-08-28,239
"372",274.914990675,34.8749895,"lightning",0.1,1998-08-29,240
"373",274.954965675,34.8749895,"lightning",0.02,1998-08-29,240
"374",175.074869775,104.875012125,"intentional",0.5,1998-08-29,240
"375",284.954951775,244.8750174,"intentional",0.15,1998-08-29,240
"376",334.95492225,184.874980875,"other",0.01,1998-08-29,240
"377",64.954937775,164.875008675,"other",0.02,1998-08-30,241
"378",154.9949076,154.8749826,"intentional",0.5,1998-08-30,241
"379",174.874994775,324.87498615,"other",200,1998-08-30,241
"380",134.9549604,194.87500695,"accident",1,1998-08-30,241
"381",224.994930225,364.8750105,"accident",6,1998-08-31,242
"382",214.914994125,364.8750105,"accident",0.6,1998-08-31,242
"383",204.95494305,194.87500695,"other",0.6,1998-08-31,242
"384",24.8989884,234.874991325,"accident",0.4,1998-08-31,242
"385",244.8750174,234.874991325,"other",1.1,1998-09-03,245
"386",304.91498895,74.87501385,"intentional",0.03,1998-09-04,246
"387",194.87500695,174.874994775,"accident",10,1998-09-07,249
"388",114.994923225,94.87498605,"other",1.22,1998-09-07,249
"389",344.874998325,224.875005225,"accident",0.3,1998-09-08,250
"390",85.03489995,244.8750174,"intentional",6,1998-09-08,250
"391",334.9145475,164.875008675,"accident",0.01,1998-09-09,251
"392",204.87499305,144.8749965,"other",0.25,1998-09-09,251
"393",244.8750174,164.875008675,"accident",4,1998-09-09,251
"394",304.87501395,214.875019125,"accident",0.05,1998-09-09,251
"395",274.435290675,324.87498615,"accident",0.5,1998-09-09,251
"396",195.15483195,214.875019125,"accident",1.08,1998-09-09,251
"397",174.874994775,204.87499305,"accident",100,1998-09-09,251
"398",94.87498605,244.8750174,"other",4,1998-09-09,251
"399",15.0349173,224.875005225,"other",0.7,1998-09-09,251
"400",124.914959325,254.8750035,"other",5,1998-09-09,251
"401",54.994926675,234.874991325,"accident",0.02,1998-09-09,251
"402",94.87498605,194.87500695,"accident",1,1998-09-09,251
"403",144.8749965,204.87499305,"accident",4.6,1998-09-09,251
"404",265.0348896,54.875001675,"other",1.5,1998-09-11,253
"405",324.87498615,154.8749826,"accident",1.5,1998-09-13,255
"406",155.1947826,154.8749826,"intentional",2.5,1998-09-13,255
"407",134.8750104,124.874984325,"intentional",8,1998-09-13,255
"408",234.994916325,304.87501395,"other",0.01,1998-09-13,255
"409",175.194794775,234.874991325,"accident",55,1998-09-13,255
"410",174.874994775,154.8749826,"intentional",8.5,1998-09-14,256
"411",245.1148674,354.874984425,"intentional",0.04,1998-09-14,256
"412",65.074862775,244.8750174,"accident",6,1998-09-14,256
"413",144.9149715,204.87499305,"accident",1,1998-09-14,256
"414",184.914955875,194.87500695,"accident",28,1998-09-14,256
"415",134.9149854,234.874991325,"accident",4,1998-09-14,256
"416",334.99489725,184.874980875,"other",0.02,1998-09-15,257
"417",184.914955875,344.874998325,"accident",0.01,1998-09-15,257
"418",64.874987775,224.875005225,"accident",0.4,1998-09-15,257
"419",324.91496115,184.874980875,"other",0.04,1998-09-16,258
"420",114.914973225,244.8750174,"accident",8,1998-09-16,258
"421",154.9549326,174.874994775,"accident",1,1998-09-16,258
"422",135.0748854,194.87500695,"accident",0.02,1998-09-16,258
"423",274.954965675,84.87499995,"accident",0.5,1998-09-17,259
"424",64.994912775,164.875008675,"intentional",0.25,1998-09-17,259
"425",214.914994125,284.875001775,"intentional",0.5,1998-09-17,259
"426",285.034901775,344.874998325,"other",0.75,1998-09-17,259
"427",224.875005225,334.87497225,"accident",3,1998-09-17,259
"428",54.954951675,254.8750035,"other",4,1998-09-17,259
"429",74.87501385,254.8750035,"other",1,1998-09-17,259
"430",174.874994775,94.87498605,"accident",2,1998-09-18,260
"431",245.1548424,354.874984425,"intentional",150,1998-09-18,260
"432",94.91496105,244.8750174,"other",3.5,1998-09-18,260
"433",165.034908675,154.8749826,"intentional",4,1998-09-19,261
"434",314.87500005,204.87499305,"other",0.03,1998-09-19,261
"435",234.954941325,254.8750035,"accident",2.5,1998-09-19,261
"436",204.95494305,274.875015675,"accident",4.5,1998-09-19,261
"437",24.9029859,234.874991325,"accident",0.17,1998-09-19,261
"438",214.914994125,274.875015675,"accident",2,1998-09-20,262
"439",24.9069834,234.874991325,"other",8,1998-09-20,262
"440",54.994926675,204.87499305,"accident",0.15,1998-09-20,262
"441",175.274744775,234.874991325,"other",4,1998-09-20,262
"442",194.87500695,374.8749966,"accident",0.01,1998-09-21,263
"443",324.87498615,244.8750174,"accident",0.35,1998-09-24,266
"444",334.87497225,234.874991325,"lightning",0,1998-09-24,266
